Date,BTC,WBTC
2019-01-31 23:59:59,3457.79274724,3466.50653268
2019-02-01 23:59:59,3487.94538683,3480.77231412
2019-02-02 23:59:59,3521.06078726,3542.09536095
2019-02-03 23:59:59,3464.01332586,3477.86602633
2019-02-04 23:59:59,3459.15414635,3481.21934559
2019-02-05 23:59:59,3466.35743916,3461.8729256
2019-02-06 23:59:59,3413.7677183,3444.96104912
2019-02-07 23:59:59,3399.47164359,3395.9786162
2019-02-08 23:59:59,3666.78035061,3664.8411371
2019-02-09 23:59:59,3671.20370545,3677.96397919
2019-02-10 23:59:59,3690.18824383,3686.28802728
2019-02-11 23:59:59,3648.43062774,3636.48735917
2019-02-12 23:59:59,3653.52864497,3664.99121582
2019-02-13 23:59:59,3632.07060268,3641.11856305
2019-02-14 23:59:59,3616.88097021,3611.82446599
2019-02-15 23:59:59,3620.81075285,3629.19582092
2019-02-16 23:59:59,3629.78749138,3644.54475489
2019-02-17 23:59:59,3673.83629289,3705.2908502
2019-02-18 23:59:59,3915.71447331,3909.03267156
2019-02-19 23:59:59,3947.09440657,3869.74387065
2019-02-20 23:59:59,3999.82050882,4055.46445129
2019-02-21 23:59:59,3954.1182433,3978.72447272
2019-02-22 23:59:59,4005.52660406,4018.18880002
2019-02-23 23:59:59,4142.52692999,4166.84249427
2019-02-24 23:59:59,3810.42743065,3659.92785254
2019-02-25 23:59:59,3882.69629339,3865.78174586
2019-02-26 23:59:59,3854.35793575,3904.57309629
2019-02-27 23:59:59,3851.04747978,3903.79497581
2019-02-28 23:59:59,3854.78528208,3854.58555645
2019-03-01 23:59:59,3859.58375221,3858.34984195
2019-03-02 23:59:59,3864.41510673,3871.57692662
2019-03-03 23:59:59,3847.17569934,3824.16926661
2019-03-04 23:59:59,3761.55701842,3759.72220956
2019-03-05 23:59:59,3896.37502308,3923.0371054
2019-03-06 23:59:59,3903.9425832,3923.13054144
2019-03-07 23:59:59,3911.4842891,3898.29963424
2019-03-08 23:59:59,3901.13162355,3901.64382424
